id,imbalance ratio
13,2.365
15,1.9
24,1.075
25,1.706
27,1.706
29,1.248
38,15.329
49,0.0
51,0.0
56,1.589
451,1.252
466,1.086
470,2.0
481,1.787
757,8.778
786,1.18
798,1.212
802,1.001
810,1.223
831,1.106
839,1.854
840,1.47
844,1.383
858,1.774
897,2.336
930,1.121
939,1.054
940,5.588
957,3.383
961,1.415
963,1.774
966,9.72
967,1.671
968,5.887
975,2.06
982,1.196
984,10.438
986,2.165
989,3.196
990,2.439
993,1.706
999,2.965
1000,11.962
1002,8.463
1003,3.036
1008,1.325
1010,2.268
1017,1.184
1018,14.57
1023,6.424
1024,3.112
1037,3.03
6332,1.368
23381,1.381
40536,5.071
40945,1.618
41430,1.838
42172,3.927
42638,1.605
42882,5.055
42883,5.055
43595,2.198
43607,1.06
43891,1.36
44155,1.248
