id,imbalance ratio
37,1.866
43,2.778
50,1.886
53,1.25
59,1.786
333,1.0
334,1.917
335,1.083
336,3.855
337,2.674
450,12.895
464,1.0
717,1.288
724,1.25
730,1.101
733,2.732
744,1.294
746,1.336
749,1.11
750,1.033
763,1.0
764,7.182
765,6.422
767,6.787
770,1.016
773,1.016
774,1.088
776,1.0
778,1.032
779,1.146
792,1.475
793,1.174
794,1.252
795,1.024
796,2.943
811,1.614
814,1.208
818,1.138
820,1.527
824,1.212
825,1.269
826,1.41
827,1.012
830,1.747
832,1.252
838,1.315
841,1.056
853,1.421
855,1.232
860,1.054
863,1.137
869,1.336
870,1.146
879,1.551
880,1.0
884,1.008
886,1.008
895,1.523
896,1.273
900,1.424
906,1.073
907,1.062
908,1.083
909,1.03
911,1.273
915,1.368
925,1.182
926,1.041
931,1.108
933,1.193
935,1.273
936,1.193
943,1.075
947,22.292
949,5.987
950,28.421
951,42.0
987,5.25
994,2.881
996,1.816
997,1.17
1005,1.816
1011,1.35
1014,4.142
1016,10.0
1025,3.444
1048,1.236
1063,3.879
1065,9.651
1071,12.0
1073,1.045
1121,2.5
1167,1.991
1412,5.457
1442,8.37
1443,11.712
1446,6.789
1447,6.786
1449,8.37
1451,10.557
1452,45.562
1464,3.202
1467,10.739
1480,2.491
1495,1.336
1498,1.887
1506,5.714
1510,1.684
1511,2.099
1524,2.1
1600,3.855
4329,5.714
23499,2.42
40690,1.151
40693,2.022
40705,1.772
40710,1.196
40981,1.248
40994,10.739
41496,1.0
41538,6.935
41945,2.491
