dataset,pre processing,algorithm,time,balanced accuracy,f1 score,roc auc,geometric mean,cohen kappa,final score
glass1.dat,SMOTEENN,ExtraTreesClassifier,2.255,0.979,0.979,0.998,0.979,0.959,0.979
glass1.dat,SMOTEENN,RandomForestClassifier,2.476,0.944,0.942,0.992,0.943,0.888,0.942
glass1.dat,SMOTEENN,XGBClassifier,0.474,0.942,0.942,0.986,0.941,0.884,0.939
glass1.dat,SMOTEENN,LGBMClassifier,0.277,0.933,0.933,0.988,0.932,0.866,0.93
glass1.dat,InstanceHardnessThreshold,ExtraTreesClassifier,2.019,0.928,0.927,0.986,0.926,0.856,0.925
glass1.dat,SMOTEENN,GradientBoostingClassifier,0.856,0.928,0.927,0.982,0.927,0.856,0.924
glass1.dat,RepeatedEditedNearestNeighbours,GradientBoostingClassifier,0.794,0.922,0.916,0.967,0.919,0.844,0.914
glass1.dat,SMOTEENN,BaggingClassifier,0.578,0.918,0.916,0.97,0.918,0.836,0.912
glass1.dat,InstanceHardnessThreshold,RandomForestClassifier,2.234,0.915,0.914,0.976,0.913,0.829,0.909
glass1.dat,RandomOverSampler,ExtraTreesClassifier,2.237,0.908,0.906,0.973,0.907,0.816,0.902
glass1.dat,RepeatedEditedNearestNeighbours,RandomForestClassifier,2.318,0.908,0.899,0.979,0.904,0.818,0.902
glass1.dat,RepeatedEditedNearestNeighbours,ExtraTreesClassifier,2.026,0.907,0.899,0.981,0.903,0.816,0.901
glass1.dat,RepeatedEditedNearestNeighbours,XGBClassifier,0.364,0.906,0.9,0.971,0.903,0.814,0.899
glass1.dat,RepeatedEditedNearestNeighbours,LGBMClassifier,0.227,0.906,0.9,0.968,0.903,0.814,0.898
glass1.dat,InstanceHardnessThreshold,LGBMClassifier,0.218,0.904,0.902,0.961,0.901,0.808,0.895
glass1.dat,SMOTETomek,ExtraTreesClassifier,3.265,0.902,0.9,0.967,0.901,0.803,0.895
glass1.dat,RepeatedEditedNearestNeighbours,AdaBoostClassifier,0.966,0.905,0.898,0.941,0.903,0.811,0.892
glass1.dat,RandomOverSampler,RandomForestClassifier,2.525,0.9,0.901,0.958,0.899,0.801,0.892
glass1.dat,SMOTE,ExtraTreesClassifier,2.305,0.898,0.898,0.962,0.897,0.795,0.89
glass1.dat,SVMSMOTE,ExtraTreesClassifier,2.235,0.895,0.895,0.962,0.894,0.79,0.887
glass1.dat,SMOTETomek,RandomForestClassifier,2.706,0.897,0.896,0.949,0.896,0.794,0.886
glass1.dat,SMOTEENN,AdaBoostClassifier,1.022,0.899,0.899,0.928,0.897,0.797,0.884
glass1.dat,RandomOverSampler,XGBClassifier,0.526,0.89,0.893,0.949,0.889,0.781,0.88
glass1.dat,KMeansSMOTE,ExtraTreesClassifier,2.207,0.89,0.884,0.958,0.887,0.779,0.88
glass1.dat,RandomOverSampler,GradientBoostingClassifier,1.153,0.891,0.893,0.943,0.89,0.782,0.88
glass1.dat,BorderlineSMOTE,ExtraTreesClassifier,2.413,0.884,0.885,0.961,0.882,0.768,0.876
glass1.dat,ADASYN,ExtraTreesClassifier,3.265,0.884,0.883,0.96,0.882,0.767,0.875
glass1.dat,EditedNearestNeighbours,ExtraTreesClassifier,2.051,0.884,0.865,0.968,0.878,0.781,0.875
glass1.dat,InstanceHardnessThreshold,XGBClassifier,0.415,0.883,0.882,0.959,0.88,0.766,0.874
glass1.dat,SVMSMOTE,RandomForestClassifier,2.624,0.885,0.884,0.949,0.884,0.769,0.874
glass1.dat,RandomOverSampler,LGBMClassifier,0.316,0.884,0.886,0.943,0.882,0.768,0.873
glass1.dat,NeighbourhoodCleaningRule,ExtraTreesClassifier,2.068,0.881,0.874,0.964,0.879,0.763,0.872
glass1.dat,SMOTE,RandomForestClassifier,2.999,0.883,0.882,0.948,0.882,0.766,0.872
glass1.dat,AllKNN,ExtraTreesClassifier,2.065,0.877,0.859,0.97,0.871,0.767,0.869
glass1.dat,InstanceHardnessThreshold,GradientBoostingClassifier,0.78,0.876,0.872,0.964,0.874,0.752,0.868
glass1.dat,EditedNearestNeighbours,LGBMClassifier,0.252,0.881,0.858,0.944,0.877,0.765,0.865
glass1.dat,BorderlineSMOTE,RandomForestClassifier,3.134,0.875,0.877,0.945,0.874,0.751,0.864
glass1.dat,SMOTE,XGBClassifier,0.559,0.872,0.873,0.94,0.869,0.743,0.859
glass1.dat,AllKNN,GradientBoostingClassifier,0.813,0.874,0.855,0.938,0.871,0.752,0.858
glass1.dat,KMeansSMOTE,RandomForestClassifier,2.585,0.87,0.865,0.942,0.868,0.74,0.857
glass1.dat,AllKNN,XGBClassifier,0.399,0.872,0.849,0.954,0.866,0.746,0.857
glass1.dat,SMOTETomek,LGBMClassifier,0.293,0.869,0.87,0.938,0.868,0.738,0.857
glass1.dat,EditedNearestNeighbours,XGBClassifier,0.4,0.872,0.849,0.944,0.868,0.749,0.856
glass1.dat,ADASYN,RandomForestClassifier,3.443,0.868,0.865,0.948,0.866,0.735,0.856
glass1.dat,SVMSMOTE,XGBClassifier,0.572,0.869,0.869,0.934,0.867,0.737,0.855
glass1.dat,RepeatedEditedNearestNeighbours,BaggingClassifier,0.524,0.87,0.854,0.948,0.862,0.743,0.855
glass1.dat,BorderlineSMOTE,XGBClassifier,0.905,0.867,0.87,0.934,0.865,0.735,0.854
glass1.dat,KMeansSMOTE,XGBClassifier,0.52,0.867,0.865,0.936,0.865,0.734,0.853
glass1.dat,SMOTE,GradientBoostingClassifier,1.215,0.867,0.868,0.931,0.864,0.735,0.853
glass1.dat,RandomOverSampler,BaggingClassifier,0.724,0.869,0.867,0.928,0.866,0.737,0.853
