dataset,pre processing,algorithm,output app,fold,time,final score,final score std
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,1,4.288,1.0,0.0
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,2,4.288,0.737,0.093
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,3,4.288,1.0,0.0
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,4,4.288,1.0,0.0
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,5,4.288,1.0,0.0
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,6,4.288,1.0,0.0
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,7,4.288,1.0,0.0
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,8,4.288,0.899,0.09
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,9,4.288,1.0,0.0
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,10,4.288,1.0,0.0
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,11,4.288,1.0,0.0
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,12,4.288,1.0,0.0
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,13,4.288,1.0,0.0
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,14,4.288,0.839,0.156
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,15,4.288,0.908,0.097
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,16,4.288,1.0,0.0
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,17,4.288,0.75,0.12
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,18,4.288,1.0,0.0
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,19,4.288,0.908,0.097
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,20,4.288,1.0,0.0
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,21,4.288,0.908,0.097
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,22,4.288,1.0,0.0
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,23,4.288,0.908,0.097
analcatdata_lawsuit (id:450),RandomOverSampler,LGBMClassifier,LM,24,4.288,1.0,0.0
